,user,gender,height,weight,item,size,star,content,size_eval,bright_eval,color_eval,thick_eval
11,LV 3 빵돌이입니다,남성, 177cm, 68kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],30,5,가격 오르기전에 구입해서 잘입고 다녀요 가을 겨울에만 가능할거 같네요 두께가,보통이에요,보통이에요,보통이에요,보통이에요
12,LV 5 구기1,남성, 168cm, 68kg,세미 와이드 히든 밴딩 슬랙스 [블랙],28,5,두번째 구매입니다 너무 잘입고있어요 가성비 깡패,보통이에요,보통이에요,보통이에요,보통이에요
13,LV 5 우하라이,남성, 182cm, 90kg,세미 와이드 히든 밴딩 슬랙스 [차콜 그레이],34,4,가성비정말좋은거같구요 입을때 편안합니다전투용으로 자주 입고있습니다,보통이에요,어두워요,보통이에요,보통이에요
14,"LV 5 바밤바,",남성, 168cm, 64kg,세미 와이드 히든 밴딩 슬랙스 [블랙],31,5,널널하고 밴딩부분 너무 편해요 자주 입게 되네요,보통이에요,보통이에요,보통이에요,보통이에요
15,LV 5 lonelyhyena,남성, 173cm, 83kg,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],33,5,저한테 바지기장이 조금 길어서 줄이긴 해야하겠지만 그외엔 마음에 드네요!,보통이에요,보통이에요,보통이에요,보통이에요
16,LV 4 뉴비_2c07e7c0397a,남성, 173cm, 79kg,세미 와이드 히든 밴딩 슬랙스 [블랙],32,5,기본 슬랙스 세미와이드핏이 필요했는데 역시나 무탠다드 말해뭐해입니다. 기본템으로 잘 입고 다니고 있습니다. 다만 조금 두꺼운 감이 없지 않아 있어서 여름에 입기엔 조금 더운것 같습니다.,보통이에요,어두워요,보통이에요,두꺼워요
17,LV 3 뉴비_bff3e8b4,남성, 176cm, 68kg,세미 와이드 히든 밴딩 슬랙스 [블랙],32,5,통이 그렇게 많이 좁지 않아 좋고 기장이 잘빠졌으며 기본으로 좋은 슬랙스입니다.,보통이에요,어두워요,보통이에요,보통이에요
18,LV 4 빈츠맨,남성, 170cm, 74kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],30,5,운동을 해서 허벅지에 두깨가 있는 편입니다. 재질이 잘 늘어나는 재질이라 저와 체형이 같은 분이라면 정사이즈로 사시는것도 추천드립니다.,보통이에요,보통이에요,선명해요,얇아요
19,LV 5 S0126,남성, 164cm, 56kg,세미 와이드 히든 밴딩 슬랙스 [블랙],27,5,무난무난하고 좋아요 슬랙스는 무탠다드만 계속사는듯,보통이에요,보통이에요,보통이에요,보통이에요
20,LV 5 알버툰,남성, 176cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [브라운],32,5,받았을때 생각보다 더 똥 색이어서 놀랐어요 근데 입어서 사진 찍고 보니 괜찮네요,보통이에요,보통이에요,보통이에요,보통이에요
21,LV 3 뉴비_1c85e5276d69,남성, 173cm, 71kg,세미 와이드 히든 밴딩 슬랙스 [블랙],31,5,개인적으로 세미와이드가 제일 좋습니다. 스트레이트도 주문해봐야겠어요 사이즈차이는 적은데 느낌이 다를거같네요 ,보통이에요,보통이에요,선명해요,보통이에요
22,LV 4 Son065,남성, 179cm, 76kg,세미 와이드 히든 밴딩 슬랙스 [블랙],34,5,무탠다드 진짜 깔끔하고 저렴하지만 원단이 좋아서 추천해용,보통이에요,보통이에요,보통이에요,보통이에요
23,LV 3 뉴비_8a301ef12aa2,남성, 172cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [라이트 베이지],31,5,30사이즈로 샀다고 허벅지가 조금 타이트해서 31로 바꿨더니 잘 맞네요 기장수선조금하고 입으면 좋을거같아요색감이랑 핏 너무 만족합니다,보통이에요,보통이에요,보통이에요,보통이에요
24,LV 4 SungC,남성, 165cm, 55kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],28,5,기대한만큼 이쁩니다!핏도 딱 맞고 자주 입을 것 같습니다~,보통이에요,보통이에요,보통이에요,보통이에요
25,LV 4 김세연92,남성, 165cm, 57kg,세미 와이드 히든 밴딩 슬랙스 [블랙],26,5,다 만족합니다 슬슬 추워질 가을 시즌에 입기 딱좋은 슬랙스입니다 핏감이 좋습니다 에센셜 미니멀 블루종도 같이 구매하게 되어 같이 입어보았습니다,보통이에요,보통이에요,보통이에요,보통이에요
26,LV 6 근사한트룰,남성, 180cm, 78kg,세미 와이드 히든 밴딩 슬랙스 [네이비],32,5,사이즈도 적당하고 핏도 좋습니다. 저는 정장용으로 구매한거라 딱 좋네요. 가성비 무탠다드 좋아요.,보통이에요,보통이에요,보통이에요,보통이에요
27,LV 5 sdajslkdjaslkd,남성, 168cm, 62kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],29,5,무신사 스탠다드 슬랙스는 가성비로 입기 좋습니다~!,보통이에요,보통이에요,보통이에요,보통이에요
28,LV 3 the.H,남성, 178cm, 70kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],31,5,블랙 컬러 먼저 구매했는데 가성비 좋아서 그레이 추가구매했습니다. 만족합니다.,보통이에요,보통이에요,보통이에요,보통이에요
29,LV 6 서피스,남성, 187cm, 92kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],36,5,바지는 역시 무탠다드 가성비로 참 잘입고다닙니당,보통이에요,보통이에요,보통이에요,보통이에요
30,LV 2 KJMERIC7,남성, 178cm, 84kg,세미 와이드 히든 밴딩 슬랙스 [블랙],34,4,첫 슬렉스로 사기에 아주좋은 선택 인거같고 잘샀다는 생각이 듬,커요,보통이에요,선명해요,보통이에요
31,LV 3 보험하는남자,남성, 189cm, 83kg,세미 와이드 히든 밴딩 슬랙스 [차콜 그레이],33,4,우선 기본에 충실한 제품으로 핏이나 전체적인 사진이나 기장 등 다 무난하게 맞았습니다.딱 맞게 입으실거면 정사이즈 추천하며 조금은 여유있게 입으실거면 한사이즈 업 추천합니다.,작아요,보통이에요,보통이에요,보통이에요
32,LV 3 보험하는남자,남성, 189cm, 83kg,세미 와이드 히든 밴딩 슬랙스 [블랙],33,4,우선 기본에 충실한 제품으로 핏이나 전체적인 사진이나 기장 등 다 무난하게 맞았습니다.딱 맞게 입으실거면 정사이즈 추천하며 조금은 여유있게 입으실거면 한사이즈 업 추천합니다.,보통이에요,보통이에요,보통이에요,보통이에요
33,LV 5 햄햄따,여성, 169cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],33,5,세미와이드라고 하기엔 애매해요 허벅지 좀 있는 분들은 한사이즈 업 추천드리거 싶어요 그래도 저렴하게 구매했고 색이 예뻐서 좋아요,보통이에요,밝아요,선명해요,보통이에요
34,LV 5 2wan,남성, 178cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [베이지],32,5,깔끔 무난합니다예상했던 색보다 사알짝 짙어서 그렇지만나름이뻐요,보통이에요,어두워요,선명해요,보통이에요
35,LV 4 튯튜,남성, 183cm, 84kg,세미 와이드 히든 밴딩 슬랙스 [블랙],33,5,원했던핏입니다. 캐쥬얼하게 입기좋은것같습니다,보통이에요,보통이에요,보통이에요,보통이에요
36,LV 4 사려니숲,남성, 178cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],31,5,셋업으로 사서 예쁘게 잘 입었습니다.바지는 원하던 느낌내려구 길이만 살짝 줄였어요,보통이에요,보통이에요,보통이에요,보통이에요
37,LV 3 죠스888,남성, 177cm, 72kg,세미 와이드 히든 밴딩 슬랙스 [차콜 그레이],31,5,와이드핏 사려고 여기저기 입어봤는데 무신사가 젤 좋네요,보통이에요,보통이에요,보통이에요,보통이에요
38,LV 4 맥주집알바생,남성, 178cm, 88kg,세미 와이드 히든 밴딩 슬랙스 [블랙],36,5,허벅지랑 엉덩이 있으신분은 생각보다 더 세미와이드느낌이라고 생각하시면 될듯,작아요,보통이에요,선명해요,보통이에요
39,LV 3 김소희남편,남성, 180cm, 95kg,세미 와이드 히든 밴딩 슬랙스 [블랙],34,5,기장도 알맞고 착용감이 훌륭합니다다른색으로 재주문할려구요,보통이에요,보통이에요,보통이에요,보통이에요
40,LV 5 숨티지,남성, 178cm, 85kg,세미 와이드 히든 밴딩 슬랙스 [네이비],33,5,스판이라 너무 좋아요 ㅎㅎ재질도 좋은 것 같고 무신사 스탠다드 제품에 관심이가네요 ㅎㅎ너무 과하지도 않는 세미와이드라 자주 입을 것 같아요!,보통이에요,보통이에요,선명해요,보통이에요
41,LV 5 반사장이되고싶다,남성, 175cm, 60kg,세미 와이드 히든 밴딩 슬랙스 [더스티 크림],28,5,진짜딱 적당한길이감과 핏의 세미와일드팬츠 역시 무탠!,보통이에요,밝아요,선명해요,보통이에요
42,LV 5 eglkt,남성, 170cm, 57kg,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],28,5,무탠다드는 항상 무난하고 좋아요 색감이 어두워요,보통이에요,어두워요,보통이에요,보통이에요
43,LV 3 멤버_ae07f9e72b98,여성, 166cm, 90kg,세미 와이드 히든 밴딩 슬랙스 [네이비],38,4,길이 수선해서 편하게 잘 입었습니다. 디자인이 깔끔합니다.,보통이에요,보통이에요,보통이에요,보통이에요
44,LV 5 뉴비_686ca6dc,남성, 172cm, 63kg,세미 와이드 히든 밴딩 슬랙스 [블랙],31,5,튼튼하고 무난해서 잘 입을 것 같습니다. 길이는 수선이 좀 필요해 보입니다.,보통이에요,보통이에요,보통이에요,보통이에요
45,LV 3 마나르,남성, 173cm, 68kg,세미 와이드 히든 밴딩 슬랙스 [라이트 베이지],33,4,가격 대비 정말 좋은거 같아요. 색깔은 사진과 똑같아서 코디 생각하기 편했던거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
46,LV 4 젴조,남성, 176cm, 70kg,세미 와이드 히든 밴딩 슬랙스 [블루 그레이],31,5,핏 좋고 기장도 아주 좋아요 색감이 너무 좋네요오,보통이에요,보통이에요,선명해요,보통이에요
47,LV 4 pentamin,남성, 169cm, 61kg,세미 와이드 히든 밴딩 슬랙스 [블랙],28,5,가성비 너무 좋고 데일리로 입기 좋아요~ 세미 와이드 치고는 기장이 너무 길어 3cm 정도 수선하니 정말 이쁘네요!!,보통이에요,보통이에요,보통이에요,보통이에요
48,LV 5 다살래요다사,남성, 178cm, 70kg,세미 와이드 히든 밴딩 슬랙스 [브라운],29,5,사이즈는 허리는 조금 타이트한 감이 있지만 나머지 허벅지부턴 꽤 여유롭게 나와서 핏감도 좋고 착용감도 좋네요 만족합니다!!,보통이에요,보통이에요,보통이에요,보통이에요
49,LV 5 khssee,남성, 181cm, 75kg,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],31,5,편하고 어디에나 잘 어울려서 자주 손이 갑니다아,보통이에요,보통이에요,보통이에요,보통이에요
