,name,size_buy,sex,height,weight,size_review,brightness,color,thickness,review
55,세미와이드히든밴딩슬랙스[블랙],34,남성, 174cm, 65kg,보통이에요,보통이에요,선명해요,보통이에요,믿고 사는 무탠다드에요. 허리에 밴드도 있어서 입었을 때 편해요. 기장은 좀 길어서 수선하려구요. 
56,세미와이드히든밴딩슬랙스[블랙],33,남성, 180cm, 77kg,보통이에요,보통이에요,선명해요,보통이에요, 세미와이드지만 스트레이트 느낌이에요. 엉덩이 허벅지 쪽이 작게 나왔으니 사이즈업 추런드려요
57,세미와이드히든밴딩슬랙스[더스티베이지],33,남성, 180cm, 72kg,보통이에요,밝아요,선명해요,보통이에요,색상이 너무 이쁘고 핏도 너무 좋아요 강추합니다
58,세미와이드히든밴딩슬랙스[그레이],31,남성, 180cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈는 딱 좋아요 허리는 살짝 널널한느낌이고 밑위는 좀 작운느낌이라 32가서 밸트차도 좋을거같아요!
59,세미와이드히든밴딩슬랙스[네이비],38,남성, 186cm, 110kg,보통이에요,보통이에요,보통이에요,보통이에요,싸고 좋은 가격으로 구매 해서 좋습니다. 재구매 의사 있음
60,세미와이드히든밴딩슬랙스[블랙],29,남성, 168cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요,항상 사는 바지에요 좋아요근데 가격 오른 건 알겠는데 택에는 전 가격 적혀있음 별 상관은 없지만 기분이 좋지는 않네요
61,세미와이드히든밴딩슬랙스[블랙],29,남성, 170cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요,편하고 좋아요 다만 다리가 짧아서 기장 수선했어요
62,세미와이드히든밴딩슬랙스[블랙],27,남성, 166cm, 57kg,보통이에요,보통이에요,보통이에요,보통이에요,바지기장은 수선했어요 너무 핏이쁘고 좋아요 잘입을게여 
63,세미와이드히든밴딩슬랙스[블랙],31,남성, 165cm, 70kg,보통이에요,어두워요,선명해요,보통이에요,핏도 좋고 가격도 좋고 원단도 좋아요 만족합니다
64,세미와이드히든밴딩슬랙스[라이트브라운],30,남성, 171cm, 68kg,커요,보통이에요,보통이에요,보통이에요,길이 수선만해서 입으면 핏 예쁠거같네요 가성비 최고입니다
65,세미와이드히든밴딩슬랙스[블랙],32,남성, 177cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요,기본 중에 기본이라 여러장 사도 좋은거 같아요. 추천해요
66,세미와이드히든밴딩슬랙스[블랙],29,남성, 176cm, 75kg,보통이에요,어두워요,선명해요,보통이에요,히든 밴딩 처리가 되어서 벨트를 하지 않아도입을 수 있어서 편해요
67,세미와이드히든밴딩슬랙스[블랙],28,남성, 170cm, 59kg,보통이에요,보통이에요,보통이에요,보통이에요,생각보다 더 와이드하지않은거같아요!! 그래도 무난한 슬랙스로 정말 만족합니다
68,세미와이드히든밴딩슬랙스[블랙],42,남성, 177cm, 118kg,보통이에요,보통이에요,보통이에요,보통이에요,"허벅지 부분이 살짝 끼긴하나, 세미오버핏인거 감안하면 괜찮다고 느껴집니다"
69,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 170cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 슬랙스 색별로 다 구입 했습니다핏도 좋고 늘 만족합니다
70,세미와이드히든밴딩슬랙스[블랙],32,남성, 176cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요, 와이드 슬랙스는 처음 사봤는데 괜찮네요. 옷 예쁘고 마음에 들어요
71,세미와이드히든밴딩슬랙스[미디엄그레이],33,남성, 170cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요,자신이 키랑 몸무게에 비해 하체가 비만이다 하시면 이거 꼭 한치수 크게 하세요!
72,세미와이드히든밴딩슬랙스[블랙],30,남성, 173cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,크롭기장으로 줄여서 입었더니생각했던 여유있는핏 나옵니다
73,세미와이드히든밴딩슬랙스[차콜그레이],30,남성, 173cm, 70kg,보통이에요,보통이에요,보통이에요,두꺼워요,세미와이드 크롭기장으로 잘라서 입었더니 여유있네요
74,세미와이드히든밴딩슬랙스[라이트베이지],33,남성, 188cm, 80kg,작아요,보통이에요,선명해요,보통이에요,길이감도 좋고 이쁘네요 요즘 날씨에 잘 입늘 거 같아요
75,세미와이드히든밴딩슬랙스[블랙],38,남성, 193cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요,저렴하지만 옷의 품질과 핏은 넘 좋네요.최고입니다
76,세미와이드히든밴딩슬랙스[블랙],33,남성, 178cm, 82kg,보통이에요,보통이에요,보통이에요,보통이에요,평상시에 편하게 입고 다니기 좋아요! 요새 날씨에 춥지도 않구요
77,세미와이드히든밴딩슬랙스[블랙],32,남성, 177cm, 70kg,보통이에요,어두워요,선명해요,보통이에요,그냥 무난하게 입을 수 있는 블랙 슬랙스입니다 잘 입을게요
78,세미와이드히든밴딩슬랙스[블랙],28,남성, 181cm, 58kg,보통이에요,어두워요,선명해요,보통이에요,길이도 적당하고 재질도 다른 저가 슬랙스에 비해서는 확실히 나쁘지 않은듯 합니다. 먼지가 꽤 달라붙는 편이긴 한것같은데 정확히는 좀더 입어봐야 알겠네요 
79,세미와이드히든밴딩슬랙스[블랙],32,남성, 177cm, 72kg,보통이에요,보통이에요,보통이에요,보통이에요,와이드 리얼와이드랑 다른 통이조금 좁다보니곱창맛이있네요
80,세미와이드히든밴딩슬랙스[핑크베이지],38,남성, 187cm, 97kg,보통이에요,보통이에요,보통이에요,보통이에요,인기 없는 색상이라 저렴할때 구매했어요가성비 짱입니다
81,세미와이드히든밴딩슬랙스[더스티베이지],31,남성, 172cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,길이가 길어서 수선이 필요하긴 할듯요 좋긴하네요
82,세미와이드히든밴딩슬랙스[블랙],34,남성, 182cm, 83kg,보통이에요,보통이에요,보통이에요,보통이에요,정말 편하게 잘 맞고 길이감도 원하던 길이감입니다! 다른색상도 구입예정입니다
83,세미와이드히든밴딩슬랙스[블랙],30,남성, 170cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,이쁘고 라인도 괜찮고 전체적으로 괜찮았습니다.
84,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 177cm, 75kg,보통이에요,보통이에요,보통이에요,보통이에요,핏도 예쁘고 사이즈도 적당합니다추천 추천 추천 추천
85,세미와이드히든밴딩슬랙스[네이비],30,남성, 168cm, 63kg,보통이에요,보통이에요,보통이에요,보통이에요,그냥 깔끔 무난 합니다. 비싼거랑 차이없으니 편하게 사서 입으셔요
86,세미와이드히든밴딩슬랙스[라이트베이지],29,남성, 177cm, 60kg,보통이에요,보통이에요,보통이에요,보통이에요,너무 편하고 다리 길어보여서 정말 좋습니다. 칼주름이 잘 사라지는 게 조금 아쉽습니다
87,세미와이드히든밴딩슬랙스[블랙],40,남성, 178cm, 108kg,보통이에요,보통이에요,보통이에요,보통이에요,40할지 38할지 고민을 많이 했는데 38 했으면 작았을 것 같아요 저랑 스펙 비슷하신 분들은 40 하시는게 좋을 것 같아요 기장은 수선해서 줄였습니다 원단이 부드러워서 좋은 것 같아요 착용감도 편해요
88,세미와이드히든밴딩슬랙스[블랙],33,남성, 176cm, 72kg,보통이에요,보통이에요,보통이에요,두꺼워요,기장도 수선하지 않았고 허리랑 허벅지 딱 맞아요 제 몸이 무탠다드에 딱 맞네요ㅋㅋ
89,세미와이드히든밴딩슬랙스[베이지],32,남성, 184cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요,편하게 입기 좋아요. 발등 살짝 덮을 정도 기장입니다
90,세미와이드히든밴딩슬랙스[라이트베이지],30,남성, 173cm, 64kg,보통이에요,보통이에요,보통이에요,보통이에요,무난한 슬랙스. 예쁘고 일교차 큰 요즘 입기 좋아요~
91,세미와이드히든밴딩슬랙스[블랙],28,남성, 168cm, 60kg,커요,보통이에요,보통이에요,보통이에요,이 가격에 이 퀄리티면 굳굳와이드 이걸로 입문하셔도 좋습니다~
92,세미와이드히든밴딩슬랙스[블랙],28,남성, 170cm, 58kg,보통이에요,밝아요,선명해요,보통이에요,이런 슬랙스 하나 꼭 사고 싶었는데 드디어 사게 되네요.가성비 정말 좋습니다.
93,세미와이드히든밴딩슬랙스[블랙],32,남성, 188cm, 80kg,보통이에요,보통이에요,보통이에요,보통이에요,기장이 살짝 아쉽긴 한데 그럭저럭 잘 입을거 같긴해요 
94,세미와이드히든밴딩슬랙스[블랙],32,남성, 184cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요,컨버스 하이나 첼시부츠에 코디하기 딱 좋네요! 잘입을께요
95,세미와이드히든밴딩슬랙스[블랙],34,남성, 184cm, 86kg,보통이에요,보통이에요,보통이에요,보통이에요,잘 맞고 여윽시 무탠다드다 이렇게 얘기할 수 있습니다. 
96,세미와이드히든밴딩슬랙스[베이지],33,남성, 173cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요,"색감도 적당하고, 핏도 맘에 들고, 입고 다니기에도 미편합니다.. 기장 조절하니 딱 좋네요."
97,세미와이드히든밴딩슬랙스[베이지],33,남성, 174cm, 76kg,보통이에요,보통이에요,보통이에요,보통이에요,가성비의 옷입니다. 싸요 재질도 좋아요 편해요이만한옷 없는듯?
98,세미와이드히든밴딩슬랙스[화이트],30,남성, 175cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,상품 질도 좋고 색감도 좋습니다!! 고민하시는 분들 그냥 구매하세요!
99,세미와이드히든밴딩슬랙스[미디엄그레이],34,남성, 173cm, 90kg,보통이에요,보통이에요,보통이에요,보통이에요,사이즈도 적당하고 딱맞아서 좋아보여요 많이사세요
100,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 173cm, 75kg,보통이에요,보통이에요,흐려요,보통이에요,호빗이라 기장값 더들어가는게 슬퍼요 옷은 이쁩니다
101,세미와이드히든밴딩슬랙스[블랙],29,남성, 172cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요,단은 조금 줄였습니다 다음에 또 사면 단을 조그만 줄여야겠어요 좀더 길게 입어도 이쁠듯
102,세미와이드히든밴딩슬랙스[미디엄그레이],29,남성, 173cm, 64kg,보통이에요,보통이에요,보통이에요,보통이에요,무탠다드 세미와이드 3장이나 샀어요 색깔별로 구비 합니다 ㅠㅠ 더 사고 싶어요 핏이 너무 예쁘고 기장 수선 해주면 훨씬 예쁘게 입을 수 있을 것 같아요 가성비 원탑 무탠다드!
103,세미와이드히든밴딩슬랙스[네이비],31,남성, 174cm, 68kg,보통이에요,보통이에요,보통이에요,보통이에요,평소에 31사이즈 바지 입는데 똑같이 31로 갔어요~딱 좋네요~ ㅋㅋ
104,세미와이드히든밴딩슬랙스[블랙],32,남성, 185cm, 84kg,보통이에요,보통이에요,보통이에요,보통이에요,"바지최애탬, 기장도 만족, 회사 출근때 두세개 사서 기본템으로 입기좋습니다"
105,세미와이드히든밴딩슬랙스[블랙],26,여성, 172cm, 51kg,작아요,보통이에요,보통이에요,두꺼워요,너무 예뻐요 색깔별로 쟁여놓고 싶어요. 진짜 핏 미쳤음 자동 학다리 생성해줘요. 다리 얇고 슬림 미쳤음 개길어보임 재구매 의사 990%
106,세미와이드히든밴딩슬랙스[블랙],34,남성, 174cm, 78kg,보통이에요,보통이에요,보통이에요,보통이에요,무난무난하고 기본템으로 입기 좋습니다 무텐다드 좋아요
107,세미와이드히든밴딩슬랙스[블랙],32,남성, 180cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요,이쁘고 핏도 잘나오는듯확실히 슬랙스는 무텐다드가 가성비도 좋고 이쁨
108,세미와이드히든밴딩슬랙스[더스티베이지],32,남성, 168cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,가을과 잘 어울리는 색이에요. 무탠다드 슬랙스는 믿고 사요!!
109,세미와이드히든밴딩슬랙스[라이트베이지],30,남성, 170cm, 65kg,보통이에요,보통이에요,보통이에요,보통이에요,폭이 과하지 않아서 부담없이 입고 좋고 포멀한 구두와도 잘 어울립니다
110,세미와이드히든밴딩슬랙스[블랙],32,남성, 171cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요,무난하고 너무 재질좋구요 편합니다 색깔별로하나씩 샀어요
111,세미와이드히든밴딩슬랙스[블랙],31,남성, 175cm, 68kg,보통이에요,어두워요,선명해요,보통이에요,딱 편하고 좋아요 ㅎㅎ 기장 아주 쪼금만 짧았으면 더좋았을듯! 그래도 신발신으면 딱 덮혀서 죠아요
112,세미와이드히든밴딩슬랙스[라이트브라운],32,남성, 171cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요,색깔일단 너무좋고 역시 무탠편하네여 길이는 수선해서 입으먄 될거같아여
113,세미와이드히든밴딩슬랙스[미디엄그레이],36,남성, 181cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요,밝은 색상 바지는 부담스러워서 최대한 밝은 미디엄 그레이색상 구매했는데 너무 좋습니다 통도 세미와이드라 적당합니다
114,세미와이드히든밴딩슬랙스[크림],32,남성, 171cm, 77kg,보통이에요,보통이에요,보통이에요,보통이에요,진짜 무난히밝은 크림진입니다 입어봤는게 너무편하네요 기장은 수선해서입을게요
115,세미와이드히든밴딩슬랙스[네이비],27,여성, 161cm, 50kg,보통이에요,밝아요,보통이에요,보통이에요,네이비가 살짝 밝은 네이비에요. 그래도 필수색상이니 옷매치가 쉬워서 잘 입을듯해요
116,세미와이드히든밴딩슬랙스[라이트베이지],27,여성, 161cm, 50kg,보통이에요,보통이에요,보통이에요,보통이에요,핏은 좋은데 가끔 허리부분이 고무줄로 되어있어서 쭈글거림이 좀 있네요
117,세미와이드히든밴딩슬랙스[차콜그레이],36,남성, 181cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요,적당한 핏이고 색감도 정말 이쁘네요. 무탠다드 슬렉스만 몇벌째인지 
118,세미와이드히든밴딩슬랙스[브라운],29,남성, 172cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요,브라운인데 너무 똥색같지 않고 예쁜 색감과 핏을 갖고 있어요.
119,세미와이드히든밴딩슬랙스[미디엄그레이],32,남성, 177cm, 70kg,보통이에요,보통이에요,보통이에요,보통이에요,다른 색깔의 세미 와이드 히든 밴딩 슬렉스가 있는데 재구매입니다.
120,세미와이드히든밴딩슬랙스[블랙],32,남성, 175cm, 78kg,보통이에요,밝아요,선명해요,보통이에요,일반티로 입어도 괜찮네요. 남방이랑 입어봤는데도 괜찮았어요. 가성비 만족합니다.
121,세미와이드히든밴딩슬랙스[그레이],29,남성, 178cm, 62kg,보통이에요,보통이에요,보통이에요,보통이에요,여자친구 졸업식용으로 샀는데 좋네요 살짝만 짧으면 더 좋을것같아요
122,세미와이드히든밴딩슬랙스[미디엄그레이],36,남성, 179cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요,외이드히든밴딩슬랙스는 32를 입어서 세미와이드히든밴딩슬랙스는 34를 구매했습니다 근데 36으로 교환했습니다 사이즈를 잘확인하고 구매하였는데 34가 타이트해서 36으로 교환하였습니다 참고가되시면 좋을거같습니다
123,세미와이드히든밴딩슬랙스[차콜그레이],36,남성, 179cm, 100kg,보통이에요,보통이에요,보통이에요,보통이에요,외이드히든밴딩슬랙스는 32를 입어서 세미와이드히든밴딩슬랙스는 34를 구매했습니다 근데 36으로 교환했습니다 사이즈를 잘확인하고 구매하였는데 34가 타이트해서 36으로 교환하였습니다 참고가되시면 좋을거같습니다
124,세미와이드히든밴딩슬랙스[더스티크림],32,남성, 177cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,빠른 배송 감사합니다사이즈 딱 맞고 컬러감 좋습니다
125,세미와이드히든밴딩슬랙스[베이지],32,남성, 177cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,빠른 배송 감사합니다사이즈 딱 맞고 컬러감 좋습니다
126,세미와이드히든밴딩슬랙스[화이트],32,남성, 177cm, 71kg,보통이에요,보통이에요,보통이에요,보통이에요,빠른 배송 감사합니다사이즈 딱 맞고 컬러감 좋습니다
